longitude,latitude,sigla_empresa,nome_empresa,tipo,ativa
-43.474346,-22.895225,ANDORINHA ,Viacao Andorinha Ltda.,,0
-43.386005,-22.81512,AUTO DIESEL,AUTO DIESEL,,0
-43.386807,-22.815157,TOP RIO,Viação Top Rio Ltda.,,0
-43.256651,-22.853872,CITY RIO ,,,0
-43.56043,-22.8957,SANTA SOFIA ,,,0
-43.24808,-22.895148,TRANSLITORANEA,TRANSLITORAL TRANSPORTES LTDA,,0
-43.644446,-22.919659,ZONA OESTE,,,0
-43.270202,-22.910468,ALPHA,Auto Viacao Alpha S/A,,1
-43.342892,-22.810015,AMERICA RUBANIL,Viacao Rubanil Ltda.,,1
-43.291565,-22.868262,BRASO,Empresa de Transportes Braso Lisboa Ltda.,,1
-43.495431,-22.88398,CAMPO GRANDE,Transportes Campo Grande Ltda.,,1
-43.187387,-22.814883,PARANAPUAN,Transportes Paranapuan S/A,,1
-43.188396,-22.815286,IDEAL,Empresa Viacao Ideal S/A,,1
-43.345846,-22.957548,LITORAL,Litoral Rio Transportes Ltda.,,1
-43.32381,-22.830926,MADUREIRA CANDELARIA,Viacao Madureira Candelaria Ltda.,,1
-43.285683,-22.836951,N S LOURDES,Viacao Nossa Senhora de Lourdes S/A,,1
-43.251762,-22.854343,NORMANDY,Viacao Normandy do Triangulo Ltda.,,1
-43.257237,-22.868213,PENHA RIO,Viacao Penha Rio Ltda.,,1
-43.249618,-22.870482,PREMIUM,Premium Auto Onibus Ltda,,1
-43.241549,-22.874903,REAL,Real Auto Onibus Ltda,,1
-43.391769,-22.964681,SANTA MARIA,Transportes Santa Maria Ltda.,,1
-43.196469,-22.901985,SAO SILVESTRE,Transportes Sao Silvestre S/A,,1
-43.370962,-22.858127,TEL-ESTRELA,Tel - Transportes Estrela S/A,,1
-43.292536,-22.889068,TRANSURB,Transurb S/A,,1
-43.395703,-22.960178,UTIL,,,1
-43.310025,-22.804554,VIGARIO GERAL,VIAÇÃO VG EIRELI,,1
-43.256692,-22.920578,VILA ISABEL,Transportes Vila Isabel S/A,,1
-43.223747,-22.808229,BLOQUEIO PARANAPUAN,Transportes Paranapuan S/A,,1
-43.766659,-22.849636,RECREIO Mangaratiba,,,1
-43.390733,-22.818791,PAVUNENSE,Viacao Pavunense S/A,G1,1
-43.329983,-22.87647,ACARI,Viacao Acari S/A,G1,1
-43.35767,-22.880205,BARRA,Transportes Barra Ltda.,G1,1
-43.301723,-22.817039,CAPRICHOSA,Caprichosa Auto Onibus Ltda.,G1,1
-43.250888,-22.915413,ESTRELA AZUL,Transporte Estrela Azul S/A,G1,1
-43.348843,-22.951997,FUTURO / REDENTOR,Transportes Futuro Ltda.,G1,1
-43.254459,-22.929721,GRAÃAS / TIJUQUINHA,Auto Viacao Tijuca S/A,G1,1
-43.532099,-22.894989,JABOUR,Auto Viacao Jabour Ltda.,G1,1
-43.298954,-22.902152,MATIAS,Rodoviaria A. Matias Ltda.,G1,1
-43.368474,-22.876492,NOVACAP,Viacao Novacap S/A,G1,1
-43.608807,-22.918735,PALMARES / PEGASO,AUTO VIAÇÃO PALMARES LTDA,G1,1
-43.608807,-22.918735,PALMARES / PEGASO,Expresso Pegaso Ltda.,G1,1
-43.54053,-23.013186,EXPRESSO RECREIO,EXPRESSO RECREIO TRANSPORTE DE PASSAGEIROS LTDA,G1,1
-43.355991,-22.860842,TRES AMIGOS,Auto Viacao Tres Amigos S/A,G1,1
-43.31387,-22.90298,VERDUN,Viacao Verdun S/A,G1,1
-43.356127,-22.866319,VILA REAL,Viacao Vila Real S/A,G1,1
-43.258557,-22.867531,GIRE,Gire Transportes Ltda.,G1,1
-43.419697,-22.876032,BARRA,Transportes Barra Ltda.,G2,1
-43.294268,-22.792663,GIRE,Gire Transportes Ltda.,G2,1
-43.6728,-22.887591,EXPRESSO RECREIO,EXPRESSO RECREIO TRANSPORTE DE PASSAGEIROS LTDA,G2,1
-43.260818,-22.906324,ESTRELA AZUL,Transporte Estrela Azul S/A,G2,1
-43.322912,-22.849471,CAPRICHOSA / TRES AMIGOS,Caprichosa Auto Onibus Ltda.,G2,1
-43.418503,-22.795348,ACARI,Viacao Acari S/A,G2,1
-43.368539,-22.877441,NOVACAP,Viacao Novacap S/A,G2,1
-43.216152,-22.905094,REDENTOR,Viacao Redentor Ltda.,G2,1
-43.555397,-22.902768,JABOUR,Auto Viacao Jabour Ltda.,G2,1
-43.55442,-22.899849,PALMARES / PEGASO,AUTO VIAÇÃO PALMARES LTDA,G2,1
-43.55442,-22.899849,PALMARES / PEGASO,Expresso Pegaso Ltda.,G2,1
-43.368369,-22.822818,PAVUNENSE,Viacao Pavunense S/A,G2,1
-43.372623,-22.811182,VILA REAL,Viacao Vila Real S/A,G2,1
-43.314887,-22.902467,VERDUN,Viacao Verdun S/A,G2,1
-43.252885,-22.929951,GRACAS / TIJUQUINHA,Auto Viacao Tijuca S/A,G2,1
-43.297865,-22.902546,MATIAS,Rodoviaria A. Matias Ltda.,G2,1
-43.36392,-22.805665,PAVUNENSE,Viacao Pavunense S/A,G3,1
-43.552985,-22.883771,BARRA,Transportes Barra Ltda.,G3,1
-43.256347,-22.868123,GIRE,Gire Transportes Ltda.,G3,1
-43.3825,-22.814532,PAVUNENSE,Viacao Pavunense S/A,G4,1
